distribution,n,characteristic,E(z),D(z)
Normal N(0,1),10,z_bar,-0.0102498754,0.0997530129
Normal N(0,1),10,z_med,-0.0114807496,0.1344583827
Normal N(0,1),10,z_r,-0.0061539801,0.1942177567
Normal N(0,1),10,z_q,-0.0116845778,0.1121088325
Normal N(0,1),10,z_tr,-0.0112738492,0.1035353289
Normal N(0,1),100,z_bar,-0.0037701221,0.0102945656
Normal N(0,1),100,z_med,-0.0072572085,0.0154077806
Normal N(0,1),100,z_r,0.0034123345,0.0975965803
Normal N(0,1),100,z_q,-0.0034241144,0.0128528073
Normal N(0,1),100,z_tr,-0.0048780822,0.0110837303
Normal N(0,1),1000,z_bar,0.0008356422,0.0008987563
Normal N(0,1),1000,z_med,0.0007993801,0.0014696996
Normal N(0,1),1000,z_r,-0.0041052671,0.0652505516
Normal N(0,1),1000,z_q,0.0020023052,0.0010933991
Normal N(0,1),1000,z_tr,0.0009859000,0.0009538607
Cauchy C(0,1),10,z_bar,0.4583936272,2652.5553472307
Cauchy C(0,1),10,z_med,-0.0231711662,0.3378052458
Cauchy C(0,1),10,z_r,2.4109395305,66048.6885308298
Cauchy C(0,1),10,z_q,-0.0449105300,0.9335386679
Cauchy C(0,1),10,z_tr,-0.0297428486,1.6176334802
Cauchy C(0,1),100,z_bar,1.5056435673,2553.7441473025
Cauchy C(0,1),100,z_med,0.0006022279,0.0244484405
Cauchy C(0,1),100,z_r,73.6021435307,6357920.3973686891
Cauchy C(0,1),100,z_q,0.0063607708,0.0549510280
Cauchy C(0,1),100,z_tr,0.0074168733,0.0506774512
Cauchy C(0,1),1000,z_bar,5.4160952288,17221.5254151780
Cauchy C(0,1),1000,z_med,-0.0008086027,0.0024403692
Cauchy C(0,1),1000,z_r,2678.1786499152,4294515930.8598680496
Cauchy C(0,1),1000,z_q,-0.0005918268,0.0047293560
Cauchy C(0,1),1000,z_tr,-0.0007287312,0.0045594191
Laplace L(0, 1/sqrt(2)),10,z_bar,0.0132417769,0.1042415303
Laplace L(0, 1/sqrt(2)),10,z_med,0.0070936362,0.0745217459
Laplace L(0, 1/sqrt(2)),10,z_r,0.0083191848,0.4476261900
Laplace L(0, 1/sqrt(2)),10,z_q,0.0130699452,0.0803040630
Laplace L(0, 1/sqrt(2)),10,z_tr,0.0144724250,0.0815956117
Laplace L(0, 1/sqrt(2)),100,z_bar,-0.0003511510,0.0094473496
Laplace L(0, 1/sqrt(2)),100,z_med,-0.0015052636,0.0054882083
Laplace L(0, 1/sqrt(2)),100,z_r,0.0031410741,0.4122185429
Laplace L(0, 1/sqrt(2)),100,z_q,-0.0029922861,0.0093677052
Laplace L(0, 1/sqrt(2)),100,z_tr,-0.0015812039,0.0072015782
Laplace L(0, 1/sqrt(2)),1000,z_bar,-0.0011331580,0.0010483033
Laplace L(0, 1/sqrt(2)),1000,z_med,-0.0010628134,0.0005533525
Laplace L(0, 1/sqrt(2)),1000,z_r,0.0056373356,0.3880202069
Laplace L(0, 1/sqrt(2)),1000,z_q,-0.0001494049,0.0010515960
Laplace L(0, 1/sqrt(2)),1000,z_tr,-0.0007813330,0.0007811322
Poisson P(5),10,z_bar,5.0064000000,0.4730790400
Poisson P(5),10,z_med,4.8735000000,0.6852477500
Poisson P(5),10,z_r,5.2880000000,0.9695560000
Poisson P(5),10,z_q,4.9152500000,0.5405049375
Poisson P(5),10,z_tr,4.9360000000,0.4974665000
Poisson P(5),100,z_bar,5.0026900000,0.0488890639
Poisson P(5),100,z_med,4.8860000000,0.1075040000
Poisson P(5),100,z_r,5.9625000000,0.4893437500
Poisson P(5),100,z_q,4.8815000000,0.1334577500
Poisson P(5),100,z_tr,4.9087750000,0.0531789369
Poisson P(5),1000,z_bar,4.9993240000,0.0046462310
Poisson P(5),1000,z_med,5.0000000000,0.0000000000
Poisson P(5),1000,z_r,6.8315000000,0.3058577500
Poisson P(5),1000,z_q,4.6490000000,0.0749240000
Poisson P(5),1000,z_tr,4.9057212500,0.0052804970
Uniform U(-sqrt(3), sqrt(3)),10,z_bar,0.0083970899,0.1012573175
Uniform U(-sqrt(3), sqrt(3)),10,z_med,0.0069335266,0.2366752470
Uniform U(-sqrt(3), sqrt(3)),10,z_r,-0.0019440168,0.0446109670
Uniform U(-sqrt(3), sqrt(3)),10,z_q,0.0127934385,0.1526055638
Uniform U(-sqrt(3), sqrt(3)),10,z_tr,0.0109823665,0.1332959359
Uniform U(-sqrt(3), sqrt(3)),100,z_bar,-0.0001397653,0.0104749058
Uniform U(-sqrt(3), sqrt(3)),100,z_med,0.0020364718,0.0308769251
Uniform U(-sqrt(3), sqrt(3)),100,z_r,0.0007312292,0.0005679597
Uniform U(-sqrt(3), sqrt(3)),100,z_q,-0.0018572650,0.0150883379
Uniform U(-sqrt(3), sqrt(3)),100,z_tr,-0.0003226642,0.0145796879
Uniform U(-sqrt(3), sqrt(3)),1000,z_bar,-0.0004443525,0.0009989494
Uniform U(-sqrt(3), sqrt(3)),1000,z_med,-0.0020969671,0.0029140684
Uniform U(-sqrt(3), sqrt(3)),1000,z_r,-0.0000312659,0.0000061957
Uniform U(-sqrt(3), sqrt(3)),1000,z_q,0.0003279628,0.0015098587
Uniform U(-sqrt(3), sqrt(3)),1000,z_tr,-0.0006091401,0.0013969801